HQ,built_threat,quartile
0.7911097407341003,0.1922200620174408,Q1 (lowest)
0.7812113761901855,0.16163699328899384,Q1 (lowest)
0.7934616804122925,0.14074894785881042,Q1 (lowest)
0.7650849223136902,0.31338658928871155,Q1 (lowest)
0.7517277598381042,0.306257039308548,Q1 (lowest)
0.7765751481056213,0.2685970067977905,Q1 (lowest)
0.7766462564468384,0.21733810007572174,Q1 (lowest)
0.7762748599052429,0.20120586454868317,Q1 (lowest)
0.4211440086364746,0.9603790640830994,Q4 (highest)
0.6993623375892639,0.4525561034679413,Q1 (lowest)
0.7100092172622681,0.4377284049987793,Q1 (lowest)
0.7383667826652527,0.3659968376159668,Q1 (lowest)
0.7635090947151184,0.31050822138786316,Q1 (lowest)
0.7541350722312927,0.28551939129829407,Q1 (lowest)
0.5369841456413269,0.7437736392021179,Q3
0.7549703121185303,0.38760387897491455,Q1 (lowest)
0.6975299119949341,0.5293760299682617,Q1 (lowest)
0.6269842386245728,0.6506733894348145,Q2
0.6368551850318909,0.6135557293891907,Q2
0.7062584161758423,0.4725733995437622,Q1 (lowest)
0.7095937132835388,0.4488236904144287,Q1 (lowest)
0.5697184801101685,0.7131576538085938,Q2
0.5142467617988586,0.8331627249717712,Q3
0.507276177406311,0.8639907836914062,Q4 (highest)
0.7294706702232361,0.4259941875934601,Q1 (lowest)
0.6637976765632629,0.6161782145500183,Q2
0.5016416311264038,0.8862445950508118,Q4 (highest)
0.5658649802207947,0.7764946222305298,Q3
0.6575934290885925,0.6041461229324341,Q2
0.6896867156028748,0.5342999696731567,Q1 (lowest)
0.5111309289932251,0.798222005367279,Q3
0.4642603397369385,0.9216144680976868,Q4 (highest)
0.46929216384887695,0.9315419793128967,Q4 (highest)
0.5662546157836914,0.7640668153762817,Q3
0.5848631262779236,0.7136889100074768,Q2
0.7355899810791016,0.45194706320762634,Q1 (lowest)
0.7476497888565063,0.37505099177360535,Q1 (lowest)
0.6875036954879761,0.5016666650772095,Q1 (lowest)
0.6539509892463684,0.6029439568519592,Q2
0.5713360905647278,0.7240937948226929,Q2
0.5978735089302063,0.7280863523483276,Q2
0.5392870306968689,0.8218982219696045,Q3
0.49130868911743164,0.8996238112449646,Q4 (highest)
0.6224929690361023,0.629318118095398,Q2
0.4741295874118805,0.8799922466278076,Q4 (highest)
0.46852532029151917,0.8821795582771301,Q4 (highest)
0.5466246604919434,0.7806000709533691,Q3
0.595433235168457,0.6833624243736267,Q2
0.49255138635635376,0.8939325213432312,Q4 (highest)
0.5968918204307556,0.6865482926368713,Q2
0.5182644128799438,0.8423848748207092,Q3
0.7077882289886475,0.4530590772628784,Q1 (lowest)
0.7275235056877136,0.4267173111438751,Q1 (lowest)
0.6293408274650574,0.6127676963806152,Q2
0.524716317653656,0.8533643484115601,Q4 (highest)
0.5391290783882141,0.8071752190589905,Q3
0.5282641649246216,0.8320200443267822,Q3
0.6444706320762634,0.6621397733688354,Q2
0.7240989804267883,0.48566901683807373,Q1 (lowest)
0.507206380367279,0.8306058049201965,Q3
0.473120778799057,0.9080520272254944,Q4 (highest)
0.586757242679596,0.7235307097434998,Q2
0.48053857684135437,0.911685049533844,Q4 (highest)
0.5776912569999695,0.7513649463653564,Q3
0.6043004989624023,0.7072865962982178,Q2
0.5083998441696167,0.8737016320228577,Q4 (highest)
0.5579127073287964,0.7513649463653564,Q3
0.5921484231948853,0.6796753406524658,Q2
0.695584774017334,0.5269317030906677,Q1 (lowest)
0.711245059967041,0.41145503520965576,Q1 (lowest)
0.6911841034889221,0.5301097631454468,Q1 (lowest)
0.6440085768699646,0.5831854343414307,Q2
0.6736934185028076,0.510303258895874,Q1 (lowest)
0.7229786515235901,0.38967177271842957,Q1 (lowest)
0.6578322649002075,0.5935747027397156,Q2
0.5494927763938904,0.7819930911064148,Q3
0.5879501700401306,0.7105247974395752,Q2
0.6364759206771851,0.6398423314094543,Q2
0.5502605438232422,0.8117485642433167,Q3
0.5624051094055176,0.7633544206619263,Q3
0.642936646938324,0.6500082612037659,Q2
0.6308370232582092,0.5967468619346619,Q2
0.5628728270530701,0.7431430220603943,Q3
0.6138433814048767,0.6515318155288696,Q2
0.4999983012676239,0.8876386284828186,Q4 (highest)
0.5282778739929199,0.8200668096542358,Q3
0.5326854586601257,0.8162235021591187,Q3
0.5116268396377563,0.8439382910728455,Q3
0.6576371192932129,0.583525538444519,Q2
0.7267833948135376,0.40313270688056946,Q1 (lowest)
0.7487873435020447,0.3164532780647278,Q1 (lowest)
0.7349862456321716,0.37965092062950134,Q1 (lowest)
0.7182464599609375,0.4036075472831726,Q1 (lowest)
0.6714209318161011,0.5129426717758179,Q1 (lowest)
0.6622925996780396,0.5579527020454407,Q2
0.6958417296409607,0.4951874315738678,Q1 (lowest)
0.6220895051956177,0.6556862592697144,Q2
0.49683791399002075,0.8799922466278076,Q4 (highest)
0.5900349617004395,0.7062625288963318,Q2
0.7154710292816162,0.49359914660453796,Q1 (lowest)
0.6375085711479187,0.5937894582748413,Q2
0.5760545134544373,0.7698817849159241,Q3
0.5721927881240845,0.7596648931503296,Q3
0.6627275347709656,0.6064957976341248,Q2
0.5905581116676331,0.7114419341087341,Q2
0.54616779088974,0.7819930911064148,Q3
0.5386403203010559,0.7944848537445068,Q3
0.5641531944274902,0.7589714527130127,Q3
0.7474695444107056,0.39071425795555115,Q1 (lowest)
0.7070251703262329,0.445505827665329,Q1 (lowest)
0.7245691418647766,0.4769399166107178,Q1 (lowest)
0.657735288143158,0.5903103947639465,Q2
0.510155975818634,0.854383647441864,Q4 (highest)
