k,eta2
0.05,0.05910387316806364
0.1,0.1436907012464852
0.2,0.3513404519253538
0.3,0.5861259800189541
0.4,0.7752825946772883
0.5,0.8862501566580531
0.7,0.9692235237976966
1.0,0.9938192303550631
1.3,0.9982312889291348
1.6,0.9993567918202644
2.0,0.9997856614451957
2.5,0.9999290851403617
2.8,0.9999596325185214
5.0,0.9999977601968253
