iteration,eta2
1,0.8677534916728102
2,0.8911342478321447
3,0.8342520077182654
4,0.8912189192669775
5,0.8776129389430612
6,0.8732137612683444
7,0.8995664824238493
8,0.8760404754704699
9,0.9099112276764991
10,0.8794728290796885
11,0.8771760917842684
12,0.9091742986680578
13,0.9025530242386015
14,0.8632862563853678
15,0.8979023216283959
16,0.8876095517671463
17,0.9108900439328184
18,0.8903340984702495
19,0.9091471786791273
20,0.8755213571099522
21,0.8900561038783669
22,0.8500467148577551
23,0.8754652070596378
24,0.8572316151923198
25,0.902535555276181
26,0.9011083843624744
27,0.8369673966438536
28,0.9017568291511383
29,0.8711164495432878
30,0.8839408202475689
31,0.8550122214650735
32,0.9027543137643775
33,0.8641041306802696
34,0.8692992935355637
35,0.8871931965593217
36,0.8956657069017024
37,0.868565023270626
38,0.8880727028145038
39,0.8692046769633694
40,0.9042155879122404
41,0.9097789973196722
42,0.8949876139191619
43,0.8778404721056318
44,0.8890946883379179
45,0.8884227887318796
46,0.8899869165898548
47,0.8683989268628604
48,0.8665352661581571
49,0.8594031921037241
50,0.8932206937607186
51,0.8730533065219295
52,0.8959278288598371
53,0.8717739092929438
54,0.9075391434305314
55,0.86937397447684
56,0.8438136719311592
57,0.8763537961097757
58,0.8834862393421677
59,0.9049499511463781
60,0.8954171030480621
61,0.8761157641459859
62,0.8658056389279882
63,0.9038222064722072
64,0.8820388025489982
65,0.885001508062833
66,0.8834677582658246
67,0.8482935994368346
68,0.8868564142849604
69,0.9015994987298392
70,0.8808223762847217
71,0.8709907871598775
72,0.8894325715390717
73,0.8817172802207579
74,0.9024579238948988
75,0.8967616936978472
76,0.890847429460854
77,0.8609990660068497
78,0.901961986474251
79,0.8971296105093236
80,0.9090852426836774
81,0.8943930851862641
82,0.8789409395518957
83,0.8886885194395638
84,0.900293452080966
85,0.9049178771001942
86,0.8827378316505097
87,0.8979013656529167
88,0.8828932639313399
89,0.8766739863580034
90,0.8891770985773684
91,0.8588457479076411
92,0.9020842942695119
93,0.8827328976313332
94,0.8826080878550683
95,0.8841131838700131
96,0.8901923147162335
97,0.8621362306615542
98,0.9045218942495291
99,0.8965823900224481
100,0.8741194338203168
101,0.9098267909361701
102,0.905371980856735
103,0.8984748624385327
104,0.9063444899406496
105,0.8541589918916548
106,0.907033776959743
107,0.8842489981621089
108,0.8702502699993824
109,0.8890043286625949
110,0.8880738526718464
111,0.831345774960319
112,0.8800551876344991
113,0.826229278549956
114,0.8939821153454238
115,0.8864660653322938
116,0.8915389286452724
117,0.8715472266001577
118,0.871194569027566
119,0.887537456555605
120,0.8770591194725995
121,0.903705404236648
122,0.8449106389714262
123,0.8791996135153991
124,0.9060016040205827
125,0.9141574026550734
126,0.9040500906296679
127,0.8812109863607069
128,0.8835704030883779
129,0.8562515455550654
130,0.8661218954844853
131,0.8675717846956004
132,0.8563494769869678
133,0.9060203977878164
134,0.9034977656599931
135,0.8461995181013979
136,0.8974960367811463
137,0.9016221218675458
138,0.9049875496384537
139,0.8634662075572367
140,0.9058680401262316
141,0.8889562740233248
142,0.8803763647636194
143,0.8643189622116539
144,0.8683944087685499
145,0.885985994071795
146,0.8839125857710574
147,0.8849064821944697
148,0.8917553169259319
149,0.9021758328073046
150,0.8972258197518954
151,0.8687870652088112
152,0.8666679267209223
153,0.8549974354390681
154,0.8520675468680429
155,0.8946301683280684
156,0.9011780210304208
157,0.8929845764596953
158,0.8881214052455848
159,0.8545516236271711
160,0.8930198671508429
161,0.8772392306633126
162,0.9074669658295726
163,0.8938053655744693
164,0.8727062893639473
165,0.9031448087672758
166,0.8720181275431325
167,0.8986354065591862
168,0.8846691253237291
169,0.8955129207164739
170,0.9119444817675615
171,0.8800503580350294
172,0.8865639109478761
173,0.8692938078766103
174,0.8698082900432219
175,0.8822928916023884
176,0.8863801867753865
177,0.9072066432568484
178,0.8626227532802248
179,0.868887816821202
180,0.8706209409960779
181,0.8653870136445453
182,0.9025755075081403
183,0.9026779353548957
184,0.8928778305957507
185,0.8580032967673799
186,0.8665158119895157
187,0.8993741226094405
188,0.8990522366061754
189,0.9086475238849269
190,0.827876749440764
191,0.8926572875983105
192,0.8844829547649349
193,0.8780489285761353
194,0.860592352025649
195,0.8786600775774992
196,0.8981239353978179
197,0.844380898733226
198,0.890388678422454
199,0.8967487355878837
200,0.8557590657168387
