HQ,class_code,LULC,Hj
0.7911097407341003,2,Forest,0.8
0.7812113761901855,2,Forest,0.8
0.7934616804122925,2,Forest,0.8
0.7650849223136902,2,Forest,0.8
0.7517277598381042,2,Forest,0.8
0.7765751481056213,2,Forest,0.8
0.7766462564468384,2,Forest,0.8
0.7762748599052429,2,Forest,0.8
0.4211440086364746,2,Forest,0.8
0.20798854529857635,1,Cropland,0.3
0.6993623375892639,2,Forest,0.8
0.7100092172622681,2,Forest,0.8
0.7383667826652527,2,Forest,0.8
0.7635090947151184,2,Forest,0.8
0.7541350722312927,2,Forest,0.8
0.5369841456413269,2,Forest,0.8
0.19692011177539825,1,Cropland,0.3
0.210789754986763,1,Cropland,0.3
0.7549703121185303,2,Forest,0.8
0.6975299119949341,2,Forest,0.8
0.6269842386245728,2,Forest,0.8
0.6368551850318909,2,Forest,0.8
0.7062584161758423,2,Forest,0.8
0.7095937132835388,2,Forest,0.8
0.287895143032074,1,Cropland,0.3
0.5697184801101685,2,Forest,0.8
0.5142467617988586,2,Forest,0.8
0.20534993708133698,1,Cropland,0.3
0.507276177406311,2,Forest,0.8
0.7294706702232361,2,Forest,0.8
0.6637976765632629,2,Forest,0.8
0.5016416311264038,2,Forest,0.8
0.5658649802207947,2,Forest,0.8
0.6575934290885925,2,Forest,0.8
0.2629372775554657,1,Cropland,0.3
0.6896867156028748,2,Forest,0.8
0.5111309289932251,2,Forest,0.8
0.0,5,Built-up,0.0
0.19932107627391815,1,Cropland,0.3
0.4642603397369385,2,Forest,0.8
0.46929216384887695,2,Forest,0.8
0.5662546157836914,2,Forest,0.8
0.5848631262779236,2,Forest,0.8
0.7355899810791016,2,Forest,0.8
0.7476497888565063,2,Forest,0.8
0.6875036954879761,2,Forest,0.8
0.6539509892463684,2,Forest,0.8
0.5713360905647278,2,Forest,0.8
0.5978735089302063,2,Forest,0.8
0.5392870306968689,2,Forest,0.8
0.49130868911743164,2,Forest,0.8
0.6224929690361023,2,Forest,0.8
0.18275782465934753,1,Cropland,0.3
0.4741295874118805,2,Forest,0.8
0.46852532029151917,2,Forest,0.8
0.5466246604919434,2,Forest,0.8
0.595433235168457,2,Forest,0.8
0.2247975766658783,1,Cropland,0.3
0.49255138635635376,2,Forest,0.8
0.0,5,Built-up,0.0
0.24606953561306,1,Cropland,0.3
0.5968918204307556,2,Forest,0.8
0.5182644128799438,2,Forest,0.8
0.6385851502418518,4,Water,0.8
0.7077882289886475,2,Forest,0.8
0.7275235056877136,2,Forest,0.8
0.6293408274650574,2,Forest,0.8
0.2351161539554596,1,Cropland,0.3
0.524716317653656,2,Forest,0.8
0.5391290783882141,2,Forest,0.8
0.5282641649246216,2,Forest,0.8
0.23124518990516663,1,Cropland,0.3
0.6444706320762634,2,Forest,0.8
0.7240989804267883,2,Forest,0.8
0.507206380367279,2,Forest,0.8
0.473120778799057,2,Forest,0.8
0.586757242679596,2,Forest,0.8
0.2546902000904083,1,Cropland,0.3
0.48053857684135437,2,Forest,0.8
0.5776912569999695,2,Forest,0.8
0.6043004989624023,2,Forest,0.8
0.5083998441696167,2,Forest,0.8
0.5579127073287964,2,Forest,0.8
0.5921484231948853,2,Forest,0.8
0.695584774017334,2,Forest,0.8
0.28934821486473083,1,Cropland,0.3
0.711245059967041,2,Forest,0.8
0.6911841034889221,2,Forest,0.8
0.6440085768699646,2,Forest,0.8
0.6736934185028076,2,Forest,0.8
0.7229786515235901,2,Forest,0.8
0.28639036417007446,1,Cropland,0.3
0.6578322649002075,2,Forest,0.8
0.5494927763938904,2,Forest,0.8
0.5879501700401306,2,Forest,0.8
0.6364759206771851,2,Forest,0.8
0.5502605438232422,2,Forest,0.8
0.2201230376958847,1,Cropland,0.3
0.5624051094055176,2,Forest,0.8
0.642936646938324,2,Forest,0.8
0.6308370232582092,2,Forest,0.8
0.5628728270530701,2,Forest,0.8
0.6138433814048767,2,Forest,0.8
0.4999983012676239,2,Forest,0.8
0.27016517519950867,1,Cropland,0.3
0.5282778739929199,2,Forest,0.8
0.5326854586601257,2,Forest,0.8
0.5116268396377563,2,Forest,0.8
0.6576371192932129,2,Forest,0.8
0.7267833948135376,2,Forest,0.8
0.7487873435020447,2,Forest,0.8
0.7349862456321716,2,Forest,0.8
0.7182464599609375,2,Forest,0.8
0.6714209318161011,2,Forest,0.8
0.6622925996780396,2,Forest,0.8
0.6958417296409607,2,Forest,0.8
0.6220895051956177,2,Forest,0.8
0.49683791399002075,2,Forest,0.8
0.5900349617004395,2,Forest,0.8
0.7154710292816162,2,Forest,0.8
0.6375085711479187,2,Forest,0.8
0.5760545134544373,2,Forest,0.8
0.21830449998378754,1,Cropland,0.3
0.5721927881240845,2,Forest,0.8
0.6627275347709656,2,Forest,0.8
0.2611202895641327,1,Cropland,0.3
0.22565360367298126,1,Cropland,0.3
0.5905581116676331,2,Forest,0.8
0.54616779088974,2,Forest,0.8
0.5386403203010559,2,Forest,0.8
0.5641531944274902,2,Forest,0.8
0.7474695444107056,2,Forest,0.8
0.7070251703262329,2,Forest,0.8
0.7245691418647766,2,Forest,0.8
0.657735288143158,2,Forest,0.8
0.510155975818634,2,Forest,0.8
0.46666213870048523,2,Forest,0.8
0.5399443507194519,2,Forest,0.8
0.6734794974327087,2,Forest,0.8
0.7255989909172058,2,Forest,0.8
0.7488624453544617,2,Forest,0.8
0.7114276885986328,2,Forest,0.8
0.6819971203804016,2,Forest,0.8
0.6023170948028564,2,Forest,0.8
0.5414379239082336,2,Forest,0.8
0.6246152520179749,2,Forest,0.8
0.6262933015823364,2,Forest,0.8
0.4879056513309479,2,Forest,0.8
0.5608499050140381,2,Forest,0.8
0.6710449457168579,2,Forest,0.8
0.7120460867881775,2,Forest,0.8
0.6240075826644897,2,Forest,0.8
0.5668628811836243,2,Forest,0.8
0.21662749350070953,1,Cropland,0.3
0.5656976699829102,2,Forest,0.8
0.652899444103241,2,Forest,0.8
