x_utm,y_utm,residual_HQ,z_residual,spatial_lag_z,LISA_cluster,p_sim
510656.0,2510096.0,0.19634641864834057,2.0162464394519555,1.7115568689623162,High-High,0.001
511646.0,2510096.0,0.18644805410442578,1.9146018950520396,1.8124112316475003,High-High,0.001
512636.0,2510096.0,0.1986983583265327,2.0403980895538796,1.7966867073347705,High-High,0.001
508676.0,2509106.0,0.17032160022793041,1.7490022093877717,1.1963780536899202,High-High,0.001
509666.0,2509106.0,0.15696443775234448,1.6118398844114459,1.4580482433952002,High-High,0.001
510656.0,2509106.0,0.18181182601986157,1.8669932937221028,1.6937890271577842,High-High,0.001
511646.0,2509106.0,0.1818829343610786,1.8677234926265756,1.8182710319506832,High-High,0.001
512636.0,2509106.0,0.18151153781948315,1.8639096876192238,1.8187477575766025,High-High,0.001
584906.0,2509106.0,-0.17361931344928516,-1.7828658397338832,-0.9199224896267076,Low-Low,0.005
508676.0,2508116.0,0.10459901550350414,1.074108680112167,0.8601333170265703,High-High,0.01
509666.0,2508116.0,0.1152458951765083,1.1834395931980597,1.2105763062145813,High-High,0.001
510656.0,2508116.0,0.14360346057949291,1.4746383869876043,1.3773933215906125,High-High,0.001
511646.0,2508116.0,0.16874577262935864,1.732820316146821,1.618565380502989,High-High,0.001
512636.0,2508116.0,0.15937175014553295,1.6365601470718407,1.5347921941605132,High-High,0.001
583916.0,2508116.0,-0.05777917644443287,-0.5933240829271358,-1.0624058789898452,Low-Low,0.001
506696.0,2507126.0,0.1602069900327705,1.645137076869308,0.7065232311235179,High-High,0.026
507686.0,2507126.0,0.10276658990917431,1.055291827706291,0.6532594137182437,High-High,0.039
508676.0,2507126.0,0.03222091653881298,0.33087085924197124,0.37005042206555,Not significant,0.151
509666.0,2507126.0,0.0420918629461311,0.43223385167536765,0.5750212483045283,Not significant,0.058
510656.0,2507126.0,0.11149509409008251,1.144923284178219,0.722633512233854,High-High,0.024
511646.0,2507126.0,0.11483039119777905,1.1791728567663076,1.0517813796411268,High-High,0.002
583916.0,2507126.0,-0.025044841975591314,-0.2571810263082163,-1.0539159395689899,Low-Low,0.001
584906.0,2507126.0,-0.08051656028690113,-0.8268102322056549,-0.9938695888463464,Low-Low,0.003
586886.0,2507126.0,-0.08748714467944874,-0.8983899231372484,-0.7041926293410506,Low-Low,0.017
506696.0,2506136.0,0.1347073481374763,1.3832857911029541,0.7422795657846039,High-High,0.02
507686.0,2506136.0,0.06903435447750317,0.7089015036450539,0.597235927988961,High-High,0.048
508676.0,2506136.0,-0.09312169095935596,-0.9562500763959502,0.32871270221165155,Not significant,0.19
509666.0,2506136.0,-0.028898341864965094,-0.29675193106351955,0.10233260323159614,Not significant,0.374
510656.0,2506136.0,0.06283010700283276,0.6451911901776749,0.22927925885315106,Not significant,0.263
512636.0,2506136.0,0.09492339351711498,0.9747514394054746,0.47112505325932386,Not significant,0.106
582926.0,2506136.0,-0.08363239309253467,-0.858806164922604,-0.9625926847656333,Low-Low,0.004
585896.0,2506136.0,-0.1305029823488213,-1.3401119068534446,-0.6465460883352081,Low-Low,0.035
586886.0,2506136.0,-0.12547115823688282,-1.288441000302228,-0.562361591293817,Low-Low,0.049
587876.0,2506136.0,-0.028508706302068365,-0.2927508327914833,-0.7524483411418625,Low-Low,0.014
588866.0,2506136.0,-0.009900195807836187,-0.10166334932330916,-0.7763342765753843,Low-Low,0.012
504716.0,2505146.0,0.1408266589933418,1.4461239055436157,1.1139646562335712,High-High,0.002
505706.0,2505146.0,0.15288646677074658,1.569963925947639,1.1142078008394403,High-High,0.002
506696.0,2505146.0,0.0927403734022163,0.9523343942451061,1.134945097786512,High-High,0.002
507686.0,2505146.0,0.05918766716060864,0.6077876234950779,0.3173454241068674,Not significant,0.195
508676.0,2505146.0,-0.023427231521031988,-0.24057007235306982,-0.10801280522043877,Not significant,0.379
509666.0,2505146.0,0.0031101868444465275,0.031937955346039944,-0.4239404306432722,Not significant,0.118
510656.0,2505146.0,-0.055476291388890875,-0.5696761660174839,-0.15602674957173968,Not significant,0.321
511646.0,2505146.0,-0.10345463296832813,-1.062357219465197,0.29671194944744955,Not significant,0.213
512636.0,2505146.0,0.027729646950342524,0.284750810917632,0.3153567338172652,Not significant,0.195
583916.0,2505146.0,-0.12063373467387928,-1.2387663584005826,-0.6889047783568284,Low-Low,0.023
584906.0,2505146.0,-0.1262380017942406,-1.2963155803571282,-0.7030311892248152,Low-Low,0.017
585896.0,2505146.0,-0.04813866159381641,-0.49432735115148635,-0.7865205665945185,Low-Low,0.011
586886.0,2505146.0,0.0006699130826972599,0.0068792182563294745,-0.867529800126539,High-Low,0.007
588866.0,2505146.0,-0.10221193572940601,-1.0495961826174556,-0.6119693263490708,Low-Low,0.04
501746.0,2504156.0,0.002128498344995844,0.021857170805664,0.875813772335845,High-High,0.008
502736.0,2504156.0,-0.07649890920581592,-0.7855536880681904,0.9248885096262194,Low-High,0.004
504716.0,2504156.0,0.11302490690288769,1.1606326597710113,0.8461850948895681,High-High,0.009
505706.0,2504156.0,0.13276018360195385,1.363290704924144,1.060793184812968,High-High,0.002
506696.0,2504156.0,0.0345775053792976,0.35507025076430543,0.7925048407033797,High-High,0.015
508676.0,2504156.0,-0.07004700443210377,-0.7193002258597512,-0.15436146150020186,Not significant,0.326
509666.0,2504156.0,-0.05563424369754566,-0.5712981501724321,-0.2848864283918947,Not significant,0.223
510656.0,2504156.0,-0.06649915716113819,-0.6828680134616457,-0.2842693093261489,Not significant,0.223
512636.0,2504156.0,0.049707309990503656,0.5104355224455966,0.10158587845082752,Not significant,0.374
513626.0,2504156.0,0.12933565834102856,1.328124864305883,0.16701534210507843,Not significant,0.314
583916.0,2504156.0,-0.08755694171848072,-0.8991066565128878,-0.5906815876565848,Low-Low,0.043
584906.0,2504156.0,-0.12164254328670276,-1.2491256345600157,-0.4714803271726835,Not significant,0.098
585896.0,2504156.0,-0.008006079406163824,-0.08221300499276474,-0.6638145196882577,Low-Low,0.03
587876.0,2504156.0,-0.1142247452444054,-1.1729535862266953,-0.3580641945138883,Not significant,0.167
588866.0,2504156.0,-0.01707206508579029,-0.1753099989308498,-0.6482476032698293,Low-Low,0.035
494816.0,2503166.0,0.009537176876642572,0.09793557250664205,-0.4224435764451834,Not significant,0.12
495806.0,2503166.0,-0.08636347791614307,-0.8868511890658964,-0.3956425835452616,Not significant,0.135
496796.0,2503166.0,-0.036850614756963385,-0.378412406535489,-0.40872572196339585,Not significant,0.127
497786.0,2503166.0,-0.0026148988908745174,-0.02685193147166798,-0.36923262654231814,Not significant,0.158
498776.0,2503166.0,0.10082145193157421,1.0353175518902238,0.5410562880304214,Not significant,0.076
500756.0,2503166.0,0.11648173788128124,1.1961302420541713,1.0640837469129756,High-High,0.002
