year,eta2,mean_HQ,data_type
2010,0.8804857398778343,0.4141571712480252,Observed
2015,0.8849544890276377,0.4086809555522051,Observed
2020,0.886250156078105,0.4051693048907708,Observed
2025,0.9433332985788395,0.43281282353458755,Projected
