x_utm,y_utm,cls
510656.0,2510096.0,1
511646.0,2510096.0,1
512636.0,2510096.0,1
508676.0,2509106.0,1
509666.0,2509106.0,1
510656.0,2509106.0,1
511646.0,2509106.0,1
512636.0,2509106.0,1
584906.0,2509106.0,2
508676.0,2508116.0,1
509666.0,2508116.0,1
510656.0,2508116.0,1
511646.0,2508116.0,1
512636.0,2508116.0,1
583916.0,2508116.0,2
506696.0,2507126.0,1
507686.0,2507126.0,1
508676.0,2507126.0,0
509666.0,2507126.0,0
510656.0,2507126.0,1
511646.0,2507126.0,1
583916.0,2507126.0,2
584906.0,2507126.0,2
586886.0,2507126.0,2
506696.0,2506136.0,1
507686.0,2506136.0,1
508676.0,2506136.0,0
509666.0,2506136.0,0
510656.0,2506136.0,0
512636.0,2506136.0,0
582926.0,2506136.0,2
585896.0,2506136.0,2
586886.0,2506136.0,2
587876.0,2506136.0,2
588866.0,2506136.0,2
504716.0,2505146.0,1
505706.0,2505146.0,1
506696.0,2505146.0,1
507686.0,2505146.0,0
508676.0,2505146.0,0
509666.0,2505146.0,0
510656.0,2505146.0,0
511646.0,2505146.0,0
512636.0,2505146.0,0
583916.0,2505146.0,2
584906.0,2505146.0,2
585896.0,2505146.0,2
586886.0,2505146.0,3
588866.0,2505146.0,2
501746.0,2504156.0,1
502736.0,2504156.0,4
504716.0,2504156.0,1
505706.0,2504156.0,1
506696.0,2504156.0,1
508676.0,2504156.0,0
509666.0,2504156.0,0
510656.0,2504156.0,0
512636.0,2504156.0,0
513626.0,2504156.0,0
583916.0,2504156.0,2
584906.0,2504156.0,0
585896.0,2504156.0,2
587876.0,2504156.0,0
588866.0,2504156.0,2
494816.0,2503166.0,0
495806.0,2503166.0,0
496796.0,2503166.0,0
497786.0,2503166.0,0
498776.0,2503166.0,0
500756.0,2503166.0,1
501746.0,2503166.0,1
502736.0,2503166.0,1
503726.0,2503166.0,1
504716.0,2503166.0,1
506696.0,2503166.0,0
507686.0,2503166.0,0
508676.0,2503166.0,0
509666.0,2503166.0,0
510656.0,2503166.0,0
512636.0,2503166.0,0
513626.0,2503166.0,0
583916.0,2503166.0,3
584906.0,2503166.0,0
585896.0,2503166.0,3
586886.0,2503166.0,0
495806.0,2502176.0,0
496796.0,2502176.0,2
497786.0,2502176.0,0
498776.0,2502176.0,0
499766.0,2502176.0,1
500756.0,2502176.0,1
501746.0,2502176.0,1
502736.0,2502176.0,1
503726.0,2502176.0,1
504716.0,2502176.0,0
505706.0,2502176.0,0
506696.0,2502176.0,0
507686.0,2502176.0,0
508676.0,2502176.0,0
509666.0,2502176.0,0
510656.0,2502176.0,0
511646.0,2502176.0,0
513626.0,2502176.0,0
514616.0,2502176.0,0
583916.0,2502176.0,0
584906.0,2502176.0,0
585896.0,2502176.0,0
586886.0,2502176.0,0
596786.0,2502176.0,1
597776.0,2502176.0,0
598766.0,2502176.0,0
494816.0,2501186.0,0
495806.0,2501186.0,0
496796.0,2501186.0,0
497786.0,2501186.0,0
498776.0,2501186.0,0
499766.0,2501186.0,1
500756.0,2501186.0,1
501746.0,2501186.0,1
502736.0,2501186.0,1
503726.0,2501186.0,0
504716.0,2501186.0,0
505706.0,2501186.0,0
506696.0,2501186.0,0
507686.0,2501186.0,0
508676.0,2501186.0,0
509666.0,2501186.0,1
510656.0,2501186.0,1
511646.0,2501186.0,1
512636.0,2501186.0,0
514616.0,2501186.0,0
515606.0,2501186.0,0
516596.0,2501186.0,0
580946.0,2501186.0,3
581936.0,2501186.0,0
582926.0,2501186.0,0
583916.0,2501186.0,0
584906.0,2501186.0,0
585896.0,2501186.0,0
586886.0,2501186.0,0
595796.0,2501186.0,0
596786.0,2501186.0,0
597776.0,2501186.0,0
598766.0,2501186.0,0
599756.0,2501186.0,0
489866.0,2500196.0,1
490856.0,2500196.0,0
491846.0,2500196.0,0
492836.0,2500196.0,1
493826.0,2500196.0,1
494816.0,2500196.0,0
495806.0,2500196.0,0
497786.0,2500196.0,0
498776.0,2500196.0,1
499766.0,2500196.0,1
500756.0,2500196.0,1
501746.0,2500196.0,1
502736.0,2500196.0,0
503726.0,2500196.0,0
504716.0,2500196.0,0
505706.0,2500196.0,0
506696.0,2500196.0,0
507686.0,2500196.0,0
508676.0,2500196.0,0
509666.0,2500196.0,1
510656.0,2500196.0,1
511646.0,2500196.0,1
512636.0,2500196.0,0
513626.0,2500196.0,0
514616.0,2500196.0,0
515606.0,2500196.0,0
516596.0,2500196.0,0
519566.0,2500196.0,1
580946.0,2500196.0,0
581936.0,2500196.0,0
582926.0,2500196.0,2
583916.0,2500196.0,2
595796.0,2500196.0,0
596786.0,2500196.0,0
597776.0,2500196.0,0
599756.0,2500196.0,0
488876.0,2499206.0,1
489866.0,2499206.0,0
490856.0,2499206.0,0
491846.0,2499206.0,0
492836.0,2499206.0,1
493826.0,2499206.0,1
494816.0,2499206.0,1
495806.0,2499206.0,0
496796.0,2499206.0,0
497786.0,2499206.0,0
498776.0,2499206.0,1
499766.0,2499206.0,1
500756.0,2499206.0,1
503726.0,2499206.0,0
504716.0,2499206.0,0
506696.0,2499206.0,0
507686.0,2499206.0,1
508676.0,2499206.0,1
509666.0,2499206.0,1
510656.0,2499206.0,1
511646.0,2499206.0,1
512636.0,2499206.0,0
513626.0,2499206.0,0
514616.0,2499206.0,0
515606.0,2499206.0,0
516596.0,2499206.0,0
517586.0,2499206.0,0
518576.0,2499206.0,0
519566.0,2499206.0,1
520556.0,2499206.0,1
579956.0,2499206.0,0
582926.0,2499206.0,2
583916.0,2499206.0,2
593816.0,2499206.0,0
594806.0,2499206.0,0
595796.0,2499206.0,0
596786.0,2499206.0,0
599756.0,2499206.0,0
600746.0,2499206.0,2
488876.0,2498216.0,1
489866.0,2498216.0,1
490856.0,2498216.0,1
491846.0,2498216.0,1
492836.0,2498216.0,1
493826.0,2498216.0,1
494816.0,2498216.0,0
495806.0,2498216.0,0
496796.0,2498216.0,0
497786.0,2498216.0,0
498776.0,2498216.0,0
499766.0,2498216.0,1
500756.0,2498216.0,1
501746.0,2498216.0,1
502736.0,2498216.0,0
504716.0,2498216.0,0
505706.0,2498216.0,0
506696.0,2498216.0,1
507686.0,2498216.0,1
508676.0,2498216.0,1
509666.0,2498216.0,1
510656.0,2498216.0,0
511646.0,2498216.0,0
512636.0,2498216.0,1
513626.0,2498216.0,1
514616.0,2498216.0,1
515606.0,2498216.0,0
516596.0,2498216.0,0
517586.0,2498216.0,0
519566.0,2498216.0,1
520556.0,2498216.0,1
521546.0,2498216.0,1
526496.0,2498216.0,1
527486.0,2498216.0,1
528476.0,2498216.0,1
578966.0,2498216.0,0
